#DATE,PRCP,TMAX,TMIN
20141213,0,100,39
20141214,0,128,17
20141215,0,122,67
20141216,0,100,83
20141217,28,89,61
20141218,130,94,67
20141219,30,111,72
20141220,196,128,67
20141221,0,128,100
20141222,0,106,61
20141223,206,122,50
20141224,53,72,39
20141225,0,78,28
20141226,0,56,17
20141227,33,94,44
20141228,41,67,28
20141229,0,61,6
20141230,0,33,-21
20141231,0,33,-27
